iter	Passed	Remaining
435	948	1227
436	950	1224
437	952	1221
438	953	1218
439	955	1216
440	957	1213
441	958	1210
442	965	1213
443	966	1210
444	968	1207
445	970	1204
446	971	1202
447	973	1199
448	974	1196
449	977	1194
450	979	1192
451	980	1189
452	982	1186
453	983	1183
454	985	1180
455	987	1177
456	993	1180
457	995	1177
458	997	1175
459	999	1172
460	1000	1169
461	1002	1166
462	1007	1168
463	1010	1167
464	1012	1164
465	1014	1162
466	1016	1159
467	1017	1156
468	1024	1160
469	1026	1157
470	1028	1155
471	1029	1152
472	1031	1148
473	1033	1146
474	1045	1156
475	1047	1152
476	1048	1150
477	1050	1146
478	1064	1157
479	1065	1154
480	1074	1159
481	1075	1155
482	1076	1152
483	1077	1148
484	1078	1145
485	1079	1142
486	1081	1139
487	1086	1140
488	1087	1136
489	1089	1134
490	1090	1130
491	1092	1127
492	1093	1124
493	1094	1121
494	1095	1117
495	1096	1114
496	1103	1117
497	1105	1114
498	1107	1111
499	1110	1110
500	1119	1114
501	1122	1113
502	1124	1110
503	1125	1107
504	1127	1105
505	1139	1112
506	1141	1110
507	1142	1106
508	1153	1113
509	1155	1110
510	1157	1107
511	1158	1104
512	1159	1100
513	1160	1097
514	1166	1098
515	1167	1094
516	1168	1091
517	1169	1088
518	1170	1085
519	1172	1082
520	1173	1079
521	1175	1076
522	1176	1072
523	1181	1073
524	1182	1070
525	1184	1067
526	1185	1063
527	1186	1060
528	1188	1057
529	1191	1056
530	1193	1053
531	1194	1050
532	1195	1047
533	1196	1044
534	1197	1040
535	1199	1038
536	1201	1036
537	1203	1033
538	1208	1033
539	1209	1030
540	1211	1027
541	1212	1024
542	1213	1021
543	1214	1018
544	1215	1015
545	1216	1011
546	1218	1008
547	1219	1005
548	1222	1004
549	1224	1001
550	1228	1001
551	1229	998
552	1230	994
553	1232	991
554	1233	988
555	1234	985
556	1239	985
557	1240	982
558	1242	979
559	1243	977
560	1245	974
561	1246	971
562	1247	968
563	1248	965
564	1249	962
565	1254	962
566	1256	959
567	1257	956
568	1258	953
569	1259	950
570	1260	947
571	1261	944
572	1263	941
573	1264	938
574	1265	935
575	1268	933
576	1270	931
577	1271	928
578	1273	925
579	1274	922
580	1275	919
581	1276	916
582	1277	913
583	1278	910
584	1279	907
585	1281	905
586	1285	904
587	1287	901
588	1288	898
589	1289	896
590	1291	893
591	1292	890
592	1293	887
593	1294	884
594	1295	882
595	1301	882
596	1303	879
597	1304	876
598	1305	873
599	1306	871
600	1307	868
601	1308	865
602	1310	862
603	1311	859
604	1316	859
605	1318	857
606	1319	854
607	1320	851
608	1321	848
609	1322	845
610	1323	842
611	1324	840
612	1326	837
613	1329	835
614	1330	833
615	1332	830
616	1334	828
617	1336	826
618	1338	823
619	1339	820
620	1340	818
621	1341	815
622	1342	812
623	1347	811
624	1348	809
625	1349	806
626	1350	803
627	1351	800
628	1353	798
629	1354	795
630	1355	792
631	1356	789
632	1357	787
633	1361	785
634	1362	783
635	1364	780
636	1365	778
637	1366	775
638	1367	772
639	1368	769
640	1369	767
641	1371	764
642	1372	761
643	1373	759
644	1377	757
645	1378	755
646	1379	752
647	1380	750
648	1382	747
649	1383	744
650	1384	742
651	1385	739
652	1386	736
653	1388	734
654	1389	731
655	1393	730
656	1394	727
657	1395	725
658	1396	722
659	1397	720
660	1398	717
661	1399	714
662	1401	712
663	1402	709
664	1403	707
665	1404	704
666	1407	702
667	1411	701
668	1412	699
669	1413	696
670	1415	693
671	1416	691
672	1417	688
673	1418	686
674	1419	683
675	1422	681
676	1424	679
677	1426	677
678	1428	675
679	1429	672
680	1431	670
681	1432	667
682	1433	665
683	1434	662
684	1437	661
685	1438	658
686	1441	656
687	1442	654
688	1443	651
689	1445	649
690	1446	646
691	1447	644
692	1448	641
693	1449	639
694	1456	639
695	1462	638
696	1465	637
697	1469	635
698	1470	633
699	1471	630
700	1472	628
701	1473	625
702	1475	623
703	1476	620
704	1477	618
705	1478	615
706	1479	613
707	1481	610
708	1484	609
709	1486	606
710	1487	604
711	1488	602
712	1489	599
713	1490	597
714	1491	594
715	1493	592
716	1495	590
717	1496	587
718	1500	586
719	1502	584
720	1503	581
721	1504	579
722	1506	577
723	1507	574
724	1508	572
725	1509	569
726	1510	567
727	1512	564
728	1516	563
729	1517	561
730	1518	558
731	1519	556
732	1521	554
733	1522	551
734	1523	549
735	1524	546
736	1525	544
737	1526	542
738	1527	539
739	1539	540
740	1541	538
741	1543	536
742	1546	534
743	1547	532
744	1549	530
745	1550	527
746	1551	525
747	1552	523
748	1554	520
749	1555	518
750	1556	516
751	1557	513
752	1558	511
753	1561	509
754	1562	507
755	1563	504
756	1565	502
757	1566	500
758	1567	497
759	1568	495
760	1569	492
761	1570	490
762	1572	488
763	1573	485
764	1574	483
765	1579	482
766	1580	480
767	1581	477
768	1582	475
769	1583	473
770	1585	470
771	1586	468
772	1587	466
773	1588	463
774	1589	461
775	1593	459
776	1594	457
777	1596	455
778	1597	453
779	1598	450
780	1599	448
781	1600	446
782	1601	443
783	1602	441
784	1604	439
785	1605	437
786	1610	435
787	1611	433
788	1612	431
789	1613	429
790	1615	426
791	1616	424
792	1617	422
793	1618	419
794	1619	417
795	1620	415
796	1623	413
797	1625	411
798	1626	409
799	1628	407
800	1629	404
801	1630	402
802	1632	400
803	1633	398
804	1634	395
805	1637	394
806	1639	391
807	1640	389
808	1641	387
809	1642	385
810	1643	383
811	1644	380
812	1645	378
813	1647	376
814	1648	374
815	1649	371
816	1652	370
817	1653	367
818	1654	365
819	1655	363
820	1656	361
821	1657	358
822	1658	356
823	1660	354
824	1661	352
825	1662	350
826	1663	348
827	1664	345
828	1669	344
829	1670	342
830	1671	340
831	1673	337
832	1674	335
833	1675	333
834	1676	331
835	1677	329
836	1679	327
837	1680	324
838	1684	323
839	1685	321
840	1686	318
841	1687	316
842	1688	314
843	1689	312
844	1691	310
845	1692	308
846	1693	305
847	1694	303
848	1701	302
849	1703	300
850	1705	298
851	1707	296
852	1708	294
853	1710	292
854	1720	291
855	1724	290
856	1726	288
857	1727	285
858	1731	284
859	1732	282
860	1734	279
861	1735	277
862	1736	275
863	1737	273
864	1738	271
865	1739	269
866	1740	267
867	1742	264
868	1743	262
869	1744	260
870	1745	258
871	1746	256
872	1748	254
873	1749	252
874	1751	250
875	1752	248
876	1754	246
877	1755	243
878	1756	241
879	1759	239
880	1760	237
881	1761	235
882	1763	233
883	1764	231
884	1765	229
885	1766	227
886	1767	225
887	1768	223
888	1770	221
889	1771	218
890	1774	217
891	1776	215
892	1777	212
893	1778	210
894	1779	208
895	1780	206
896	1781	204
897	1783	202
898	1784	200
899	1785	198
900	1786	196
901	1790	194
902	1791	192
903	1792	190
904	1793	188
905	1795	186
906	1796	184
907	1797	182
908	1798	180
909	1799	177
910	1800	175
911	1801	173
912	1806	172
913	1807	170
914	1808	167
915	1809	165
916	1810	163
917	1812	161
918	1813	159
919	1814	157
920	1815	155
921	1816	153
922	1817	151
923	1820	149
924	1823	147
925	1825	145
926	1827	143
927	1828	141
928	1829	139
929	1830	137
930	1832	135
931	1833	133
932	1836	131
933	1837	129
934	1838	127
935	1839	125
936	1840	123
937	1841	121
938	1843	119
939	1844	117
940	1845	115
941	1846	113
942	1847	111
943	1848	109
944	1851	107
945	1852	105
946	1854	103
947	1855	101
948	1856	99
949	1857	97
950	1858	95
951	1859	93
952	1860	91
953	1862	89
954	1863	87
955	1864	85
956	1866	83
957	1867	81
958	1868	79
959	1869	77
960	1870	75
961	1872	73
962	1873	71
963	1874	69
964	1875	68
965	1876	66
966	1877	64
967	1881	62
968	1882	60
969	1883	58
970	1884	56
971	1886	54
972	1887	52
973	1888	50
974	1889	48
975	1890	46
976	1892	44
977	1893	42
978	1896	40
979	1897	38
980	1899	36
981	1900	34
982	1901	32
983	1902	30
984	1903	28
985	1904	27
986	1905	25
987	1917	23
988	1919	21
989	1920	19
990	1922	17
991	1924	15
992	1926	13
993	1927	11
994	1929	9
995	1930	7
996	1931	5
997	1932	3
998	1933	1
999	1934	0
